data_extracao;prefixo;operador;placa;marca;modelo;data_primeiro_emplac;ano_fabricacao;combustivel
2023-10-31 01:58:47.327180;1047;TRANSPORTES COLETIVOS TREVO LTDA;IXC0972;VW                                       ;17230                                             ;2016-02-15;2015.0;DIESEL
2023-10-31 01:58:47.327180;1063;TRANSPORTES COLETIVOS TREVO LTDA;IXC1030;VW                                       ;17230                                             ;2016-02-15;2015.0;DIESEL
2023-10-31 01:58:47.327180;2399;VIACAO BELEM NOVO LTDA;IXC1033;M. BENZ;O500MA                                            ;2016-02-15;2015.0;DIESEL
2023-10-31 01:58:47.327180;6584;NORTRAN TRANSPORTES COLETIVOS LTDA;IXC1047;M. BENZ;O-500M                                            ;2016-02-15;2015.0;DIESEL
2023-10-31 01:58:47.327180;1190;TRANSPORTES COLETIVOS TREVO LTDA;IXC1113;VW                                       ;17230                                             ;2016-02-15;2015.0;DIESEL
2023-10-31 01:58:47.327180;3333;SUDESTE TRANSPORTES COLETIVOS LTDA;IXC1136;M. BENZ;O500 U                                            ;2016-02-15;2015.0;DIESEL
2023-10-31 01:58:47.327180;6615;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IXC1142;M. BENZ;OF 1721                                           ;2016-02-15;2015.0;DIESEL
2023-10-31 01:58:47.327180;3320;SUDESTE TRANSPORTES COLETIVOS LTDA;IXC1145;M. BENZ;O-500M                                            ;2016-02-15;2015.0;DIESEL
2023-10-31 01:58:47.327180;6620;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IXC1150;M. BENZ;OF 1721                                           ;2016-02-15;2015.0;DIESEL
2023-10-31 01:58:47.327180;6602;SOCIEDADE DE ONIBUS PORTO ALEGRENSE LTDA;IXC1168;M. BENZ;OF 1721                                           ;2016-02-15;2015.0;DIESEL
2023-10-31 01:58:47.327180;3326;SUDESTE TRANSPORTES COLETIVOS LTDA;IXC1356;M. BENZ;O-500M                                            ;2016-02-15;2015.0;DIESEL
2023-10-31 01:58:47.327180;4484;VIACAO ALTO PETROPOLIS LTDA;IPG6268;M. BENZ;O-500M                                            ;2008-10-29;2008.0;DIESEL
2023-10-31 01:58:47.327180;817;COMPANHIA CARRIS PORTO ALEGRENSE;ITX6438;VOLVO                                             ;B340M                                             ;2013-01-13;2012.0;DIESEL
2023-10-31 01:58:47.327180;6427;NORTRAN TRANSPORTES COLETIVOS LTDA;ISJ6901;M. BENZ;OF 1722                                           ;2011-10-18;2011.0;DIESEL
2023-10-31 01:58:47.327180;2227;VIACAO TERESOPOLIS CAVALHADA LTDA;ISU7434;M. BENZ;OF 1722                                           ;2012-02-15;2011.0;DIESEL
2023-10-31 01:58:47.327180;6185;AUTO VIACAO NAVEGANTES LTDA;IRA7717;M. BENZ;O-500M                                            ;2010-08-19;2010.0;DIESEL
2023-10-31 01:58:47.327180;868;COMPANHIA CARRIS PORTO ALEGRENSE;IWH9703;VOLVO                                             ;B290R                                             ;2015-02-05;2014.0;DIESEL
